Team;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17;Week 18;Week 19;Week 20;Week 21;Week 22;Week 23;Week 24;Week 25;Week 26;Week 27;Week 28;Week 29;Week 30;Week 31;Week 32;Week 33;Week 34;Week 35;Week 36;Week 37;Week 38
Arsenal;2;3;4;2;4;3;3;3;3;5;4;4;2;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Aston Villa;5;12;7;5;3;5;5;4;4;6;9;8;12;8;6;7;6;9;9;8;7;8;8;8;9;8;10;9;9;7;7;7;7;7;7;6;6;6
Bournemouth;9;14;8;11;13;11;13;11;11;10;12;13;13;9;8;6;5;6;7;7;8;7;7;7;5;6;7;8;10;10;10;8;8;10;8;10;11;9
Brentford;6;13;6;9;12;12;11;13;9;12;11;11;8;11;9;11;12;11;12;11;11;11;11;11;11;11;11;12;11;11;12;11;11;11;9;8;9;10
Brighton & Hove Albion;1;2;3;6;7;9;6;5;6;8;6;5;4;5;7;9;10;10;10;10;9;9;9;10;10;9;8;7;7;8;9;10;10;9;10;9;8;8
Chelsea;17;8;11;8;5;4;4;6;5;4;3;3;3;2;2;2;2;3;4;4;5;4;6;4;6;7;5;4;5;5;5;6;6;5;5;5;5;4
Crystal Palace;13;17;16;16;16;18;18;18;17;17;18;19;17;17;17;15;16;16;15;15;15;12;13;12;13;13;12;11;12;12;11;12;12;12;12;12;12;12
Everton;20;20;20;20;19;16;16;16;16;16;16;15;15;15;15;16;15;15;16;16;16;16;16;15;14;14;16;15;15;15;15;13;13;15;14;13;13;13
Fulham;15;10;12;12;9;6;8;10;10;9;7;9;10;6;10;8;9;8;8;9;10;10;10;9;8;10;9;10;8;9;8;9;9;8;11;11;10;11
Ipswich Town;18;18;17;17;17;15;17;17;18;18;17;18;19;18;18;18;19;19;18;18;18;18;19;19;18;18;18;18;18;18;18;18;18;18;18;18;19;19
Leicester City;10;15;15;15;15;17;15;14;15;15;15;16;16;16;16;17;17;18;19;19;19;19;17;18;19;19;19;19;19;19;19;19;19;19;19;19;18;18
Liverpool;3;4;2;4;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Manchester City ;4;1;1;1;1;2;2;2;1;2;2;2;5;4;4;5;7;7;6;6;6;5;4;5;4;4;4;5;6;6;6;5;5;4;3;4;3;3
Manchester United ;7;11;14;10;11;13;14;12;14;13;13;12;9;13;13;13;13;14;14;13;12;13;12;13;15;15;14;14;13;13;13;14;14;14;15;16;16;15
Newcastle United ;8;6;5;3;6;7;7;9;12;11;8;10;11;12;12;12;8;5;5;5;4;6;5;6;7;5;6;6;4;4;4;3;4;3;4;3;4;5
Nottingham Forest;11;7;9;7;8;10;10;8;7;3;5;7;6;7;5;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;6;6;7;7;7
Southampton ;16;16;19;19;18;19;19;19;20;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
Tottenham Hotspur;12;5;10;13;10;8;9;7;8;7;10;6;7;10;11;10;11;12;11;12;14;15;15;14;12;12;13;13;14;14;14;15;16;16;16;17;17;17
West Ham United;14;9;13;14;14;14;12;15;13;14;14;14;14;14;14;14;14;13;13;14;13;14;14;16;16;16;15;16;16;16;16;17;17;17;17;15;15;14
Wolverhampton Wanderers;19;19;18;18;20;20;20;20;19;20;19;17;18;19;19;19;18;17;17;17;17;17;18;17;17;17;17;17;17;17;17;16;15;13;13;14;14;16
